Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website,Source
Fiem Industries Ltd,FIEMIND,FIEMIND,Automobiles & Auto Components,3090.7892930830003,1236.32,,Original
Ather Energy Ltd.,544397,ATHERENERG,Automobiles & Auto Components,0.0,0.0,,Original
Belrise Industries Ltd.,544405,BELRISE,Automobiles & Auto Components,0.0,0.0,,Original
Hyundai Motor India Ltd.,544274,HYUNDAI,Automobiles & Auto Components,0.0,0.0,,Original
Ola Electric Mobility Ltd.,544225,OLAELEC,Automobiles & Auto Components,0.0,0.0,,Original
Tata Motors Passenger Vehicles Ltd.,500570,TMPV,Automobiles & Auto Components,0.0,0.0,,Original
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,SUNPHARMA,Pharmaceuticals,358830.1546076645,143532.06,,Original
Cipla Ltd.,CIPLA,CIPLA,Pharmaceuticals,115378.97634712,46151.59,,Original
Divi's Laboratories Ltd.,DIVISLAB,DIVISLAB,Pharmaceuticals,102932.954746914,41173.18,,Original
Dr. Reddy's Laboratories Ltd.,DRREDDY,DRREDDY,Pharmaceuticals,101145.5816865605,40458.23,,Original
Zydus Lifesciences Ltd.,ZYDUSLIFE,ZYDUSLIFE,Pharmaceuticals,94276.304963462,37710.52,,Original
Torrent Pharmaceuticals Ltd.,TORNTPHARM,TORNTPHARM,Pharmaceuticals,88721.070050361,35488.43,,Original
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,APOLLOHOSP,Pharmaceuticals,88420.4581011975,35368.18,,Original
Mankind Pharma Ltd.,MANKIND,MANKIND,Pharmaceuticals,87511.44485326699,35004.58,,Original
Max Healthcare Institute Ltd.,MAXHEALTH,MAXHEALTH,Pharmaceuticals,78001.2712960385,31200.51,,Original
Lupin Ltd.,LUPIN,LUPIN,Pharmaceuticals,71814.89639876201,28725.96,,Original
Aurobindo Pharma Ltd.,AUROPHARMA,AUROPHARMA,Pharmaceuticals,65653.6028108465,26261.44,,Original
Alkem Laboratories Ltd.,ALKEM,ALKEM,Pharmaceuticals,60424.7879990855,24169.92,,Original
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,GLAXO,Pharmaceuticals,37373.793236538506,14949.52,,Original
Biocon Ltd.,BIOCON,BIOCON,Pharmaceuticals,34713.613243902495,13885.45,,Original
Global Health Ltd.,MEDANTA,MEDANTA,Pharmaceuticals,34044.047579379505,13617.62,,Original
Fortis Healthcare Ltd.,FORTIS,FORTIS,Pharmaceuticals,33052.872856092,13221.15,,Original
Ipca Laboratories Ltd.,IPCALAB,IPCALAB,Pharmaceuticals,30639.616790555,12255.85,,Original
Gland Pharma Ltd.,GLAND,GLAND,Pharmaceuticals,30340.1426519445,12136.06,,Original
Syngene International Ltd.,SYNGENE,SYNGENE,Pharmaceuticals,28408.150323812,11363.26,,Original
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,AJANTPHARM,Pharmaceuticals,28346.963619172,11338.79,,Original
Glenmark Pharmaceuticals Ltd.,GLENMARK,GLENMARK,Pharmaceuticals,28149.4093621355,11259.76,,Original
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JBCHEPHARM,Pharmaceuticals,26589.183422311,10635.67,,Original
Narayana Hrudayalaya Ltd.,NH,NH,Pharmaceuticals,25914.852958014,10365.94,,Original
Laurus Labs Ltd.,LAURUSLABS,LAURUSLABS,Pharmaceuticals,22603.070006724494,9041.23,,Original
Aster DM Healthcare Ltd.,ASTERDM,ASTERDM,Pharmaceuticals,20489.9874374485,8195.99,,Original
Dr. Lal Path Labs Ltd.,LALPATHLAB,LALPATHLAB,Pharmaceuticals,20353.491501218,8141.4,,Original
Pfizer Ltd.,PFIZER,PFIZER,Pharmaceuticals,20283.955542357,8113.58,,Original
Alembic Pharmaceuticals Ltd.,APLLTD,APLLTD,Pharmaceuticals,18690.6247059735,7476.25,,Original
Piramal Pharma Ltd.,PPLPHARMA,PPLPHARMA,Pharmaceuticals,18644.451901357497,7457.78,,Original
NATCO Pharma Ltd.,NATCOPHARM,NATCOPHARM,Pharmaceuticals,17649.240639931,7059.7,,Original
Larsen & Toubro Ltd.,LT,LT,Real Estate & Construction,487634.01314880094,195053.61,,Original
DLF Ltd.,DLF,DLF,Real Estate & Construction,209238.920105397,83695.57,,Original
Lodha Developers Ltd.,LODHA,LODHA,Real Estate & Construction,118221.4105710465,47288.56,,Original
Godrej Properties Ltd.,GODREJPROP,GODREJPROP,Real Estate & Construction,70284.1110107815,28113.64,,Original
Rail Vikas Nigam Ltd.,RVNL,RVNL,Real Estate & Construction,59582.411275555,23832.96,,Original
Oberoi Realty Ltd.,OBEROIRLTY,OBEROIRLTY,Real Estate & Construction,55556.587582816,22222.64,,Original
Prestige Estates Projects Ltd.,PRESTIGE,PRESTIGE,Real Estate & Construction,55213.5539484395,22085.42,,Original
Phoenix Mills Ltd.,PHOENIXLTD,PHOENIXLTD,Real Estate & Construction,51690.042356124,20676.02,,Original
IRB Infrastructure Developers Ltd.,IRB,IRB,Real Estate & Construction,37737.5208414635,15095.01,,Original
Brigade Enterprises Ltd.,BRIGADE,BRIGADE,Real Estate & Construction,24440.74307164,9776.3,,Original
NBCC (India) Ltd.,NBCC,NBCC,Real Estate & Construction,23446.8975609755,9378.76,,Original
IRCON International Ltd.,IRCON,IRCON,Real Estate & Construction,22039.3462130355,8815.74,,Original
Kec International Ltd.,KEC,KEC,Real Estate & Construction,18428.477615102,7371.39,,Original
Signatureglobal (India) Ltd.,SIGNATURE,SIGNATURE,Real Estate & Construction,17774.875891443502,7109.95,,Original
Kalpataru Projects International Ltd.,KPIL,KPIL,Real Estate & Construction,16851.1617207155,6740.46,,Original
RITES Ltd.,RITES,RITES,Real Estate & Construction,16236.894116538,6494.76,,Original
NCC Ltd.,NCC,NCC,Real Estate & Construction,15574.943874327,6229.98,,Original
