Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,Revenue_Cr,MSA_Intensity,Scope3_Biodiversity_MSA,Exiobase_Sector,Factor_Used,Sector_Original,Revenue_INR,Revenue_Million_EUR,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
CEAT Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,131716692857.23717,5.284068290071392e-09,73.17594047624287,Other business activities,0.05,Chemicals & Fertilizers,131716692857.23717,1463.5188095248575,0.04999999996583576,0.5555555513377488,109.0,133.0
CERA Sanitaryware Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,191525.1200036199,0.0028194734977312,0.00010640284444645551,Other business activities,0.05,Chemicals & Fertilizers,191525.1200036199,0.00212805688892911,0.04997651542320922,0.5526699292251053,431.0,382.0
CESC Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,95839994064.98822,5.2587649333350566e-09,53.244441147215674,Other business activities,0.05,Chemicals & Fertilizers,95839994064.98822,1064.8888229443135,0.049999999953046735,0.555555549758857,141.0,153.0
CG Power and Industrial Solutions Limited,Power,Ahmedabad,Gujarat,0.51,2.5,1.275,Tier 2,75%,93287619586.2199,1.3667408447715805e-08,124.38349278162652,Production of electricity by coal,0.12,Power Generation,93287619586.2199,1036.5291065135543,0.11999999988422899,1.3333333190406187,76.0,55.0
CHENNAI PETROLEUM CORPORATION LIMITED,Oil & Gas,Mumbai,Maharashtra,0.55,2.0,1.1,Tier 2,75%,71049.90999897323,0.0154820745024996,0.0003157773777732144,Mining of coal and lignite; extraction of peat,0.4,Oil & Gas,71049.90999897323,0.000789443444433036,0.3994939549403349,4.382758809521268,420.0,21.0
CITY UNION BANK LIMITED,Financial Services,Delhi,Delhi,0.62,0.01,0.0062,Tier 2,75%,67322320426.48708,9.209427067758484e-11,3.7401289125826156,"Financial intermediation, except insurance and pension funding",0.005,Financial Services,67322320426.48708,748.0257825165231,0.0049999999933157385,0.05555555473033809,388.0,465.0
COAL INDIA LIMITED,Mining,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,143368939892.28613,4.017606605954902e-09,637.1952884101606,Mining of coal and lignite; extraction of peat,0.4,Chemicals & Fertilizers,143368939892.28613,1592.9882210254016,0.39999999974889955,4.444444413444394,22.0,15.0
COROMANDEL INTERNATIONAL LIMITED,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,240639634354.9885,2.593089046501306e-09,133.6886857527714,Other business activities,0.05,Chemicals & Fertilizers,240639634354.9885,2673.7737150554276,0.04999999998129984,0.5555555532468938,75.0,115.0
Campus Activewear Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,15929382991.83485,4.3692841107327166e-08,8.849657217686028,Other business activities,0.05,Chemicals & Fertilizers,15929382991.83485,176.99314435372057,0.049999999717503185,0.5555555206794074,344.0,323.0
Can Fin Homes Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,39866666666.66667,1.354515050167224e-08,22.148148148148152,Other business activities,0.05,Chemicals & Fertilizers,39866666666.66667,442.96296296296305,0.049999999887123746,0.5555555416202159,231.0,226.0
Canara Bank,Financial Services,Pune,Maharashtra,0.42,0.01,0.0042,Tier 2,75%,1422142372655.9385,2.953290810227559e-12,79.0079095919966,"Financial intermediation, except insurance and pension funding",0.005,Financial Services,1422142372655.9385,15801.581918399317,0.004999999999683576,0.055555555516490863,103.0,432.0
Caplin Point Laboratories Limited,Other Business Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,19212272050.166176,3.185463949302688e-08,10.673484472314541,Other business activities,0.05,Chemicals & Fertilizers,19212272050.166176,213.46968944629083,0.04999999976577471,0.5555555266388544,322.0,306.0
