Company_Name,NSE_Symbol,Sector,Market_Cap_Cr,XBRL_URL,Submission_Date,Download_Success,Filepath,File_Size_KB
Refex Industries Ltd.,REFEX,Chemicals & Fertilizers,1561.0666571275,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1471635_26062025125819_WEB.xml,26-Jun-2025,True,data\brsr_xbrl\REFEX_Refex Industries Ltd_BRSR.xml,753.3505859375
Swan Corp Ltd.,SWANCORP,Chemicals & Fertilizers,0.0,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524406_06092025055748_WEB.xml,06-Sep-2025,True,data\brsr_xbrl\SWANCORP_Swan Corp Ltd_BRSR.xml,699.58203125
Page Industries Ltd.,PAGEIND,Textiles & Apparel,40586.1232787305,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1505486_07082025055131_WEB.xml,07-Aug-2025,True,data\brsr_xbrl\PAGEIND_Page Industries Ltd_BRSR.xml,863.6435546875
K.P.R. Mill Ltd.,KPRMILL,Textiles & Apparel,27480.400232805,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1475479_01072025115120_WEB.xml,01-Jul-2025,True,data\brsr_xbrl\KPRMILL_KPR Mill Ltd_BRSR.xml,670.177734375
Trident Ltd.,TRIDENT,Textiles & Apparel,20731.647450326494,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1500333_01082025052643_WEB.xml,01-Aug-2025,True,data\brsr_xbrl\TRIDENT_Trident Ltd_BRSR.xml,658.130859375
Welspun Living Ltd.,WELSPUNLIV,Textiles & Apparel,14385.6999844565,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1513295_14082025062923_WEB.xml,14-Aug-2025,True,data\brsr_xbrl\WELSPUNLIV_Welspun Living Ltd_BRSR.xml,840.5380859375
Alok Industries Ltd.,ALOKINDS,Textiles & Apparel,14151.788720393,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1504877_07082025015349_WEB.xml,07-Aug-2025,True,data\brsr_xbrl\ALOKINDS_Alok Industries Ltd_BRSR.xml,647.572265625
Vardhman Textiles Ltd.,VTL,Textiles & Apparel,12682.9698182195,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1521678_02092025064822_WEB.xml,02-Sep-2025,True,data\brsr_xbrl\VTL_Vardhman Textiles Ltd_BRSR.xml,762.8076171875
Arvind Ltd.,ARVIND,Textiles & Apparel,8208.386070596,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1484627_16072025062616_WEB.xml,16-Jul-2025,True,data\brsr_xbrl\ARVIND_Arvind Ltd_BRSR.xml,777.4990234375
Garware Technical Fibres Ltd.,GARFIBRES,Textiles & Apparel,7062.959900509501,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1508189_11082025022434_WEB.xml,11-Aug-2025,True,data\brsr_xbrl\GARFIBRES_Garware Technical Fibres Ltd_BRSR.xml,690.2666015625
