Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
Data Patterns (India) Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,361,139.0
Cochin International Airport,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,371,139.0
"GMR Airports (Delhi, Hyderabad)",Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,370,139.0
Century Pulp and Paper,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,369,139.0
Seshasayee Paper and Boards,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,372,139.0
Garden Reach Shipbuilders & Engineers Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,367,139.0
Emami Paper Mills,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,366,139.0
Go First (GoAir),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,365,139.0
Coca-Cola India,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,363,139.0
Delhi International Airport Ltd (DIAL),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,362,139.0
Air Asia India,Other Business Services,30000000000.0,333.3333333333333,Other business activities,0.05,16.666666666666668,0.05,0.5555555555555556,404,139.0
Angel One Limited,Other Business Services,25000000000.0,277.77777777777777,Other business activities,0.05,13.88888888888889,0.05,0.5555555555555556,425,139.0
Procter & Gamble Health Limited,Healthcare,23961484697.0,266.23871885555553,Other business activities,0.05,13.311935942777778,0.05,0.5555555555555556,436,139.0
Ballarpur Industries (BILT),Other Business Services,20000000000.0,222.22222222222223,Other business activities,0.05,11.111111111111112,0.05,0.5555555555555556,453,139.0
Punjab & Sind Bank,Financial Services,185899078915.0,2065.545321277778,"Financial intermediation, except insurance and pension funding",0.005,10.32772660638889,0.005,0.0555555555555555,461,560.0
LT Finance Limited,Financial Services,185899078915.0,2065.545321277778,"Financial intermediation, except insurance and pension funding",0.005,10.32772660638889,0.005,0.0555555555555555,462,560.0
Akasa Air,Other Business Services,10000000000.0,111.11111111111111,Other business activities,0.05,5.555555555555556,0.05,0.5555555555555556,510,139.0
Alliance Air,Other Business Services,5000000000.0,55.55555555555556,Other business activities,0.05,2.777777777777778,0.05,0.5555555555555556,532,139.0
INDIAMART INTERMESH LIMITED,Retail,115580.0,0.0012842222222222,Other business activities,0.05,6.421111111111111e-05,0.05,0.5555555555555556,575,139.0
Usha Martin,Retail,57790.0,0.0006421111111111,Other business activities,0.05,3.210555555555556e-05,0.05,0.5555555555555556,583,139.0
