Company_Name,NSE_Symbol,Sector,XBRL_URL,Download_Success,Status,File_Size_KB
SUZLON ENERGY LIMITED,SUZLON,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1519735_29082025094621_WEB.xml,True,Success,896.0927734375
Linde India Limited,LINDEINDIA,Chemicals,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1509840_12082025054336_WEB.xml,True,Success,768.361328125
Container Corporation of India Limited,CONCOR,Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1521204_02092025123236_WEB.xml,True,Success,878.6943359375
Supreme Industries Limited,SUPREMEIND,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466217_13062025115844_WEB.xml,True,Success,742.23828125
Steel Authority of India Limited,SAIL,Metals & Mining,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1517071_25082025051220_WEB.xml,True,Success,871.6240234375
IDFC FIRST Bank Limited,IDFCFIRSTB,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477854_05072025100752_WEB.xml,True,Success,725.244140625
MRF Limited,MRF,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1482303_14072025052856_WEB.xml,True,Success,675.9345703125
Jindal Stainless Limited,JSL,Metals & Mining,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1507721_08082025102028_WEB.xml,True,Success,935.755859375
Ashok Leyland Limited,ASHOKLEY,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1486271_18072025010713_WEB.xml,True,Success,858.6357421875
Oberoi Realty Limited,OBEROIRLTY,Realty,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477557_04072025073747_WEB.xml,True,Success,859.6572265625
Prestige Estates Projects Limited,PRESTIGE,Realty,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1514714_19082025042454_WEB.xml,True,Success,868.2646484375
