Company_Name,Battery Waste,Biomedical Waste,E-Waste Generated,Energy Intensity,Hazardous Air Pollutants,Plastic Waste Generated,Radioactive Waste,Scope 1 GHG Emissions,Scope 2 GHG Emissions,Scope 3 GHG Emissions,Total Energy Consumption,Total Energy from Non-Renewable Sources,Total Energy from Renewable Sources,Total Waste Disposed,Total Waste Generated,Total Waste Recovered,Total Water Discharged,Total Water Withdrawal,Waste Intensity,Waste Recycled,Waste Reused,Water Intensity,Land_Footprint_Hectares_x,Biodiversity_MSA_Loss,Sector,Data_Tier,Land_Footprint_Hectares_y,Total_Indicators,Data_Completeness_Pct
RateGain Travel Technologies Limited,0.0,0.0,0.0,3.983e-07,0.0,0.0,0.0,3.62,169.72,0.0,838.05,838.05,0.0,0.44,2.42,1.98,0.0,26885.0,1.2e-09,1.98,0.0,1.27761e-05,0.5,0.058,Information Technology,Tier 2,0.5,25,100.0
Ratnamani Metals  Tubes Limited,0.0,0.04,0.42,9.7e-09,0.0,172.16,9.9,10399.9,36356.51,,473.67,340.74,132.93,586.91,1223.37,636.48,166123.82,270050.0,2.51e-08,172.58,0.0,5.5382e-06,,0.54,Chemicals & Fertilizers,Tier 2,,22,88.0
Raymond Limited,0.0,0.0,0.0,0.0187508738,0.0,18.24,0.0,11.18,656.77,26677.58,3402.62,3402.62,0.0,13982.75,14404.81,422.06,0.0,57700.4,0.0793808225,0.0,422.06,0.3179705398,5.0,0.504,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Redington Limited,0.0,0.0,1.79,3.55e-08,0.0,12.64,0.0,299.0,5302.0,7757.0,35226.0,34005.0,1221.0,2.23,585.57,583.34,0.0,30587.0,6e-10,583.34,0.0,3.07e-08,0.2,0.612,Chemicals & Fertilizers,Tier 2,0.2,25,100.0
Redtape Limited,0.0,0.0,0.24,0.0035102814,0.0,0.0,0.0,,,,72443225.0,30459843.0,41983382.0,750.0,1101.46,350.0,0.0,191000.0,5.34e-08,350.0,0.0,9.255e-06,5.0,0.66,Chemicals & Fertilizers,Tier 2,5.0,22,88.0
Relaxo Footwears Limited,3.44,0.3,5.78,1.33913e-05,0.0,201.77,0.0,11272.48,58187.16,0.0,371761.58,371588.42,173.16,328.27,10927.27,10599.0,81008.16,331248.7,3.936e-07,10599.0,0.0,9.0139e-06,5.0,0.744,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Reliance Industries Limited,656.0,10.0,259.0,8.64455e-05,0.0,3689.0,0.0,36459294.0,1470097.0,,481641954.0,476297024.0,5344930.0,22162.0,760123.0,737961.0,35305823.0,208465383.0,1.364e-07,635282.0,102679.0,3.74155e-05,5.0,0.96,Oil & Gas,Tier 2,5.0,24,96.0
Reliance Infrastructure Limited,17.17,0.0,99.05,9.274e-07,0.0,112.45,0.0,19036.0,21042.01,,282159.82,241643.69,40516.13,3419.88,3756.87,4.695,230827.03,427389.37,1.23e-08,0.095,4.6,1.3203e-06,100.0,1.04,Oil & Gas,Tier 2,100.0,24,96.0
Responsive Industries Limited,0.0,0.0,0.0,470.1576486728,,0.0,0.0,,,,26128489.45,0.0,26128489.45,0.0,0.0,0.0,0.0,2430.6,0.0,0.0,0.0,0.0,5.0,0.696,Chemicals & Fertilizers,Tier 2,5.0,21,84.0
Route Mobile Limited,0.0,0.0,0.0,1.635e-07,,0.24913,0.0,0.0,188.95,1062.9,1360.44,1360.44,0.0,0.0,0.24913,0.0,3722.19,3722.18,0.0,0.0,0.0,4.473e-07,0.2,0.54,Chemicals & Fertilizers,Tier 2,0.2,24,96.0
